timestamp_utc,run_id,pg_version,query,phase,batch_index,copy_index,batchnum,runs,server_planning_ms,server_execution_ms,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,failed,cpu_pkg_temp_c
2026-09-18T12:34:21Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10038.sql,warmup,1,1,1,1,5.744,3076.086,20,8,12086,14356792,359,310788494,0,4,lineitem;ixtest_lineitem_shipdate;partsupp;orders;customer;supplier;part;nation,11930834,0,0,0,0,0,0,90.0
2026-09-18T12:34:24Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10038.sql,measured,1,1,1,1,6.112,3146.525,20,8,12086,14356792,359,310788494,0,4,lineitem;ixtest_lineitem_shipdate;partsupp;orders;customer;supplier;part;nation,11930834,0,0,0,0,0,0,93.0
2026-09-18T12:34:26Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10039.sql,warmup,1,1,1,1,1.644,1721.761,18,5,25,22954320,25,628753650,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,91.0
2026-09-18T12:34:28Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10039.sql,measured,1,1,1,1,2.199,1774.942,18,5,25,22954320,25,628753650,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,88.0
2026-09-18T12:34:28Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10040.sql,warmup,1,1,1,1,3.837,126.024,18,7,0,400005,10,14800040,5,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,4149,0,0,0,0,0,0,88.0
2026-09-18T12:34:28Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10040.sql,measured,1,1,1,1,5.630,99.878,18,7,0,400005,10,14800040,5,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,4149,0,0,0,0,0,0,88.0
2026-09-18T12:34:40Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10041.sql,warmup,1,1,1,1,2.101,11343.661,15,4,100,61849524,100,2448974992,0,3,partsupp;supplier;part;lineitem,6166019,0,0,0,0,0,0,85.0
2026-09-18T12:34:51Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10041.sql,measured,1,1,1,1,2.203,11409.063,15,4,100,61849524,100,2448974992,0,3,partsupp;supplier;part;lineitem,6166019,0,0,0,0,0,0,87.0
2026-09-18T12:34:52Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10042.sql,warmup,1,1,1,1,1.713,547.370,19,6,25,9183043,25,177441740,0,4,lineitem;orders;ixtest_orders_orderdate;customer;supplier;nation,140497,0,0,0,0,0,0,87.0
2026-09-18T12:34:53Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10042.sql,measured,1,1,1,1,1.873,556.931,19,6,25,9183043,25,177441740,0,4,lineitem;orders;ixtest_orders_orderdate;customer;supplier;nation,140495,0,0,0,0,0,0,91.0
